"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesCS2A03G0956000","CSxP2",0.483917,0.784090362234167,0.579151379102284,0.733485024738489,138,83
"TraesCS2A03G0968500","CSxP2",0.856875,0.98877120811845,0.520885444330506,0.387023120498035,17,13
"TraesCS2A03G0646200","CSxP2",0.47087,0.772162169347209,0.601359050409818,0.874469106986633,11,6
"TraesCS2A03G0985400","CSxP2",0.792238,0.963465935933148,0.547512265018338,0,7,7
"TraesCS2A03G0999000","CSxP2",1,1,0.548684833917807,0,5,5
"TraesCS2A03G0647300","CSxP2",0.754595,0.958637781074724,0.533355747762814,0.0703893275478992,21,20
"TraesCS2A03G0647400","CSxP2",0,0,0.667525470499015,-0.736965593583299,99,165
"TraesCS2A03G0647600","CSxP2",0.743138,0.954676170496664,0.560283260079607,-0.0614005445334643,46,48
"TraesCS2A03G0648200","CSxP2",0.013412,0.0668001781609195,0.646445990449883,-0.601450621813767,29,44
"TraesCS2A03G1028100","CSxP2",0.83067,0.975744750677507,0.525069845293361,0.415037495271358,12,9
"TraesCS2A03G1030900","CSxP2",0.587437,0.85385280268119,0.585922426854527,-0.22239241790146,6,7
"TraesCS2A03G0617700","CSxP2",0.041627,0.159160708218422,0.565160478890002,0.0354778953401743,247,241
"TraesCS2A03G1037000","CSxP2",0.22664,0.507354355828221,0.661824756786698,1.26303438900235,12,5
"TraesCS2A03G0649300","CSxP2",0.192408,0.459446178436101,0.671086672822898,-0.736965587754228,9,15
"TraesCS2A03G1046200","CSxP2",0.185532,0.450783597202797,0.688040917124006,-0.847996893730994,5,9
"TraesCS2A03G1046900","CSxP2",0.014008,0.069260667617689,0.574100798774832,-0.1693377043918,273,307
"TraesCS2A03G1050800","CSxP2",1,1,0.548684833917807,0,5,5
"TraesCS2A03G1051300","CSxP2",0.024788,0.10793367839196,0.670675268464132,1.32192809007838,45,18
"TraesCS2A03G1051400","CSxP2",0,0,0.78533657658349,2.1987798589852,101,22
"TraesCS2A03G1057800","CSxP2",0.077596,0.250300359236854,0.791397959415082,-1.58496246866127,3,9
"TraesCS2A03G1061700","CSxP2",0.005293,0.0305504379683597,0.726029723099614,-1.1154772109463,12,26
"TraesCS2A03G1061900","CSxP2",0.005455,0.0312512892561983,0.612227908212492,0.927243656443315,116,61
"TraesCS2A03G1064300","CSxP2",0.950732,1,0.523632437149925,0.231325545177183,27,23
"TraesCS2A03G1066500","CSxP2",0.226575,0.507354355828221,0.661824756786698,1.26303438900235,12,5
"TraesCS2A03G1066600","CSxP2",0.000878,0.00655144886975242,0.681770786085369,1.38702311968203,68,26
"TraesCS2A03G1067700","CSxP2",0.779617,0.959934288947834,0.548004348774013,0,6,6
"TraesCS2A03G1068000","CSxP2",0.371228,0.675775340336134,0.598674436442028,0.0437213773630632,67,65
"TraesCS2A03G1069200","CSxP2",1,1,0.509308614376481,0.22239241790146,7,6
"TraesCS2A03G1073000","CSxP2",0.697165,0.921514572354623,0.536566732434978,0.0492435189862294,149,144
"TraesCS2A03G1073100","CSxP2",0.256703,0.546012941753525,0.577193036263304,-0.184424570743965,44,50
"TraesCS2A03G1074800","CSxP2",0,0,0.809227141797174,-1.7655347429684,30,102
"TraesCS2A03G1077900","CSxP2",0.113088,0.327044645807259,0.589885227206642,0.780218791465041,158,92
"TraesCS2A03G1080100","CSxP2",0.328855,0.637835159485171,0.606220054688698,0.691877700409991,21,13
"TraesCS2A03G1080700","CSxP2",0.782289,0.959934288947834,0.568313273396597,0.678071894292425,8,5
"TraesCS2A03G1113000","CSxP2",0.112668,0.326647668757842,0.631508562282973,1.05444777826804,27,13
"TraesCS2A03G1122400","CSxP2",0.037253,0.146360083710407,0.774843581586394,-1.45943159568533,4,11
"TraesCS2A03G1124100","CSxP2",0.60796,0.865285624693377,0.584494150164261,0.321928092482871,15,12
"TraesCS2A03G1124800","CSxP2",0.449718,0.753057987439613,0.568035409958174,-0.131244532680863,21,23
"TraesCS2A03G1125500","CSxP2",0.077049,0.24958758189454,0.575217808142871,-0.175849835246126,108,122
"TraesCS2A03G1126100","CSxP2",0.661697,0.894446564421954,0.570178541800348,-0.137503522438394,10,11
"TraesCS2A03G1126400","CSxP2",0,0,0.715263981437007,-1.04883076228792,305,631
"TraesCS2A03G1133700","CSxP2",0.048172,0.176588209413009,0.581387852071057,-0.2134036378217,69,80
"TraesCS2A03G1145500","CSxP2",1,1,0.500317985617235,0.263034404230799,18,15
"TraesCS2A03G1150900","CSxP2",0.196999,0.466392441256831,0.564374379260599,-0.113210610225781,49,53
"TraesCS2A03G1151900","CSxP2",0.652726,0.889742027127973,0.526683272983419,0.131015169973333,599,547
"TraesCS2A03G1152000","CSxP2",0.001223,0.00873103604531411,0.611839685403424,0.502500340136292,153,108
"TraesCS2A03G1161400","CSxP2",1,1,0.517617843895957,0.169924999438569,9,8
"TraesCS2A03G1162800","CSxP2",0.607384,0.865285624693377,0.562096712916609,0.347923302015084,28,22
"TraesCS2A03G1164100","CSxP2",0.284011,0.580028937995886,0.669961748982546,1.32192807324694,10,4
"TraesCS2A03G1165100","CSxP2",0.613129,0.867035950224398,0.574656057614357,-0.160464671299936,17,19
"TraesCS2A03G1166300","CSxP2",0,0,0.544351547651215,0.000590784218271918,4885,4883
"TraesCS2A03G0654800","CSxP2",0.351645,0.66692288372093,0.609046118638291,-0.362570077858047,21,27
"TraesCS2A03G1169300","CSxP2",0.003126,0.019582274368231,0.545424087842839,-0.00543388604960478,530,532
"TraesCS2A03G1173500","CSxP2",0.006731,0.0376284612903226,0.548244595212919,-0.0214133065118794,535,543
"TraesCS2A03G1174300","CSxP2",0.796,0.963465935933148,0.546121927419373,0,25,25
"TraesCS2A03G1177500","CSxP2",0.120987,0.343863011070111,0.670295906564703,-0.736965589357223,12,20
"TraesCS2A03G1177800","CSxP2",0.602716,0.863764174488319,0.558722005969415,0.09310940409092,32,30
"TraesCS2A03G1177900","CSxP2",0.302349,0.604884,0.544716422247593,0.0458036895767666,128,124
"TraesCS2A03G1181400","CSxP2",0.799552,0.964233489746263,0.524804676713049,0.284668476245095,430,353
"TraesCS2A03G1182500","CSxP2",1.7e-05,0.0001733,0.750669485784359,-1.27684020209999,26,63
"TraesCS2A03G1185500","CSxP2",0,0,0.825671247313472,2.5999128346576,97,16
"TraesCS2A03G1187500","CSxP2",0,0,0.828360637541057,2.62727330126057,173,28
"TraesCS2A03G1188200","CSxP2",0.58925,0.854919106926135,0.561898063437479,-0.0931094037903587,15,16
"TraesCS2A03G1191100","CSxP2",0,0,0.808331453708988,2.41605027093463,475,89
"TraesCS2A03G1196500","CSxP2",0.790317,0.963465935933148,0.539809945545662,0.200912693710421,100,87
"TraesCS2A03G1196700","CSxP2",0.173106,0.430097058064516,0.569921860393551,0.296717531984495,312,254
"TraesCS2A03G1198100","CSxP2",0.793345,0.963465935933148,0.547512265018338,0,7,7
"TraesCS2A03G1202500","CSxP2",0.959974,1,0.517155195646724,0.229481845391178,34,29
"TraesCS2A03G1203300","CSxP2",0.403676,0.70759507357775,0.524364294334793,0.158781001599147,403,361
"TraesCS2A03G1204800","CSxP2",1,1,0.507691571474232,0.222392420477701,28,24
"TraesCS2A03G1206400","CSxP2",0.587712,0.85385280268119,0.585922426854527,-0.22239241790146,6,7
"TraesCS2A03G1208400","CSxP2",0.344821,0.658303269622693,0.59807953484472,0.847996900142972,18,10
"TraesCS2A03G1209400","CSxP2",0.231991,0.515436414102564,0.603898383462366,-0.338801912563643,34,43
"TraesCS2A03G1211800","CSxP2",0.016543,0.078223789904502,0.585624440405194,0.764710584072833,175,103
"TraesCS2A03G1212400","CSxP2",0,0,0.766323880376495,-1.40243746171926,115,304
"TraesCS2A03G1213100","CSxP2",0.012588,0.0634157093023256,0.691250503704489,-0.874469115183764,24,44
"TraesCS2A03G1214900","CSxP2",0.133517,0.363935449685535,0.62805866885155,-0.485426824422251,15,21
"TraesCS2A03G1215000","CSxP2",0.289199,0.586659275811641,0.590537326516313,-0.263034404631548,20,24
"TraesCS2A03G1215100","CSxP2",0,0,0.66710632049479,-0.602664502272161,270,410
"TraesCS2A03G1215300","CSxP2",0,0,0.969654832043042,5.4918530493085,135,3
"TraesCS2A03G1218100","CSxP2",0.379791,0.685959148514851,0.598197849282596,-0.299560280818503,26,32
"TraesCS2A03G1219100","CSxP2",2.6e-05,0.000256740740740741,0.539949293533955,0.0261270277134623,1393,1368
"TraesCS2A03G1219200","CSxP2",0,0,0.541460027696362,0.0187393925298622,6664,6578
"TraesCS2A03G1220500","CSxP2",0.284729,0.580028937995886,0.636254395498106,-0.530514711766489,9,13
"TraesCS2A03G1221100","CSxP2",0.502302,0.802061914844649,0.598896110619601,-0.299560279778098,13,16
"TraesCS2A03G1221200","CSxP2",0.00313,0.019582274368231,0.558184513516756,-0.0786833496753089,446,471
"TraesCS2A03G1221600","CSxP2",0.561143,0.837321908547009,0.601749974986441,0.868755463884148,42,23
"TraesCS2A03G1223000","CSxP2",0.080463,0.256908473296501,0.67550925803963,-0.752072483471705,19,32
"TraesCS2A03G1223400","CSxP2",0,0,0.780836456921862,-1.50814690159144,45,128
"TraesCS2A03G1223500","CSxP2",0.821796,0.97185979022646,0.546024564394663,0,40,40
"TraesCS2A03G1223600","CSxP2",0.000577,0.00448404035874439,0.670704886522943,1.30812229331455,104,42
"TraesCS2A03G1225600","CSxP2",0,0,0.724404655065379,1.68871042424956,245,76
"TraesCS2A03G0619000","CSxP2",0.26083,0.552758654845613,0.645352958102809,-0.584962494709927,8,12
"TraesCS2A03G1230400","CSxP2",0.477471,0.779516950541686,0.557399047786903,0.590355758947007,134,89
"TraesCS2A03G1231300","CSxP2",0.491547,0.792162276150628,0.572662179527717,0.691877700409991,21,13
"TraesCS2A03G1233700","CSxP2",0.185399,0.450783597202797,0.621865271372932,-0.120294233215905,23,25
