"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TraesCS7A03G1085100",0.330748149679731,2.82406429265396,1.94059828950345,0.0845526631641802,0.157829927569153,-5.34377107615726
"TraesCS7A03G1087100",1.04512280266893,5.6422018617573,3.6859562747472,0.00511580015838531,0.020151783743771,-2.70004356827415
"TraesCS7A03G1088600",-0.591522427024347,4.24875833383882,-3.02133731286078,0.0146108750897247,0.0428845913893064,-3.80909233842519
"TraesCS7A03G1088700",-0.530210488170964,5.62233431129998,-3.44489914941873,0.00744373578980236,0.0264055716182005,-3.0677208022332
"TraesCS7A03G1091000",-2.64388406167784,2.60788414534594,-1.85527259449449,0.0968687885221929,0.175061429998789,-5.43628815089992
"TraesCS7A03G1091400",0.541466612936497,4.99283993870681,1.43968795355466,0.18414670626277,0.283221044340912,-6.2537164976305
"TraesCS7A03G1091500",2.0259945522475,1.23867602581824,2.8943155139224,0.0179405768200966,0.0495935423937248,-3.22965899007012
"TraesCS7A03G1091900",0.800762328093457,0.891821926671136,2.50459737264513,0.0338516160338893,0.0790492092770875,-3.89792574164427
"TraesCS7A03G1095800",-1.41929504783205,4.24840461661008,-4.42193095476517,0.00170756671039425,0.00937105299049548,-1.55889874209205
"TraesCS7A03G1099200",1.12453349733813,2.33258074677882,0.906385392023602,0.388584551661493,0.49891937009736,-6.4558071411878
"TraesCS7A03G1099800",0.577358704499633,1.81562679010174,2.56263817737424,0.0307892676938298,0.0738174492799847,-4.10994425618092
"TraesCS7A03G1101600",0.0500283033138071,4.22372146128969,0.277340909009262,0.787845173760763,0.844247258139038,-7.23415864215758
"TraesCS7A03G1104300",-0.0134574678723609,1.40412792689506,-0.0644894628357773,0.95000409009764,0.965173469281343,-6.72470569072813
"TraesCS7A03G1106300",0.310556615004544,7.57001897662598,1.46291840005746,0.177848602684504,0.275997881999134,-5.95080182457092
"TraesCS7A03G1111000",-0.192376649563273,3.56665415763515,-1.3153753509095,0.2212226364405,0.326193698695417,-6.34720664005434
"TraesCS7A03G1111500",0.23150281837775,2.02441038072396,1.12928740318249,0.288260243587812,0.39857886577563,-6.24435984314527
"TraesCS7A03G1112100",-0.749227002316585,3.23358953925757,-5.03202247781612,0.000729300682970789,0.00535400692319366,-0.594815413510601
"TraesCS7A03G1113800",0.406588914138732,1.90856418072155,1.31967181034667,0.219842717816318,0.324655471692257,-5.9762022259576
"TraesCS7A03G1117000",-2.12486972787137,2.97001643677656,-10.5114587446398,2.55245826864811e-06,0.000263162681069427,5.3575050065242
"TraesCS7A03G1118400",0.864332920976633,2.08819796174358,4.06437041005652,0.00288270156562699,0.0134224257572278,-1.75395176751267
"TraesCS7A03G1119800",-1.13821249793604,6.40028824145905,-2.04231617246965,0.071810156591924,0.139530072970824,-5.2255669500665
"TraesCS7A03G1119900",0.307199362833774,3.29752937147224,1.16129047941351,0.27568715709974,0.385390149010681,-6.46720407018044
"TraesCS7A03G1120900",-0.823669845911954,2.88795574609661,-3.59035808425771,0.00593114775084712,0.0223375702254126,-2.74313487803361
"TraesCS7A03G1121400",-3.97264673811192,6.06928535129227,-13.2323143558423,3.67507426096017e-07,0.000147072462893731,7.26034524419278
"TraesCS7A03G1121700",-0.145822586776467,2.93031096138659,-0.852835636391197,0.416085135822042,0.525158897384664,-6.73187560369624
"TraesCS7A03G1123600",-0.267780006432238,2.67434039159739,-0.783528819071125,0.453638561916251,0.560811222887966,-6.74852223988979
"TraesCS7A03G1123700",1.12087710013057,1.9273070361005,3.87723549995288,0.00381895409525082,0.0164582876315118,-1.97434664786943
"TraesCS7A03G1126000",-1.47394332433103,1.55090818446527,-4.36262808790927,0.00186013699968952,0.00991158146975457,-1.27137849138131
"TraesCS7A03G1126100",0.947022253185911,1.76402326930942,4.10606465138464,0.00270940072838837,0.0128473410393576,-1.60197434863025
"TraesCS7A03G1126700",-3.19443913767873,0.503395634966037,-11.6724490484457,1.063003854569e-06,0.000196426006531291,5.70673622076692
"TraesCS7A03G1126800",2.91705735868329,2.5827624501183,6.72749271386573,8.995370730715e-05,0.00148011794962082,1.89299474871803
"TraesCS7A03G1126900",-0.317954495966514,3.73214167613052,-0.402079964274437,0.697099079067964,0.773304771217188,-7.1547672077901
"TraesCS7A03G1127800",0.473293877334059,1.01835310206575,2.01863909621297,0.0746011073259024,0.143667557448412,-4.72132032173297
"TraesCS7A03G1127900",0.575043237190795,3.54476188080706,2.74237476551777,0.0229642799282165,0.0593597689573058,-4.17714720238039
"TraesCS7A03G1128000",-1.39286178941151,1.99070432549549,-5.71555505611499,0.000299542075572677,0.00302343371439394,0.530787572162144
"TraesCS7A03G1128200",-0.984201960663615,1.5896599274897,-3.2109246587746,0.0107805336948398,0.0344439591226457,-3.08399938669583
"TraesCS7A03G1129600",0.229810504638488,4.58459375978216,2.10218287629967,0.0651938645538103,0.129852595206362,-5.30343657586232
"TraesCS7A03G1131700",-1.35636097995673,3.44265696798425,-5.22691709676119,0.000562091749457066,0.00447491225190537,-0.340691938484373
"TraesCS7A03G1132600",-0.243248829923054,2.54626755174455,-0.506122701060056,0.625054488037301,0.713287926248465,-6.91121514836064
"TraesCS7A03G1136000",-0.14391858615525,1.40700285601295,-0.37585089855544,0.715819643536553,0.787715311159445,-6.6616877294902
"TraesCS7A03G1141100",0.741828143514669,1.83260381739595,2.30678484119016,0.0467566979609599,0.100822714986269,-4.50346960649307
"TraesCS7A03G1141400",0.00597276719001627,9.86031462244701,0.0259350738167758,0.979880660298991,0.986616337505629,-6.69733796332159
"TraesCS7A03G1141600",0.570320760892653,3.03670148450393,3.61177032878625,0.00573733697427928,0.0218450237139199,-2.68121847025159
"TraesCS7A03G1148500",3.24844841810533,2.04171848806088,5.68548662369989,0.000311075231518213,0.00309791149218947,0.724608878112244
"TraesCS7A03G1149500",0.0862112768465746,4.30143491873954,0.435468907576448,0.673579897729022,0.75342973287799,-7.17615136198906
"TraesCS7A03G1156600",-0.0928056212931114,3.47928838662585,-0.171113108517981,0.867957451207768,0.906071908866986,-7.19047018110668
"TraesCS7A03G1157800",-0.0298595737641052,3.70716535174926,-0.136098954784346,0.89476821359654,0.926585708882871,-7.22411116472731
"TraesCS7A03G1158400",-0.200115087782748,5.18927238191085,-0.768574789429049,0.462029049253497,0.568594261053713,-6.95625610131279
"TraesCS7A03G1158600",-0.688131401256396,1.10382776948456,-1.99961667577369,0.0769183417817408,0.14721992335421,-4.86358433304147
"TraesCS7A03G1159600",0.130663959474786,3.20861544758898,0.549768329998005,0.595986724649619,0.688675869655233,-6.99039452712558
