label	gene
seedling_specific	TraesCS2A03G0006700
seedling_specific	TraesCS2A03G0008000
seedling_specific	TraesCS2A03G0029500
seedling_specific	TraesCS2A03G0045600
seedling_specific	TraesCS2A03G0045700
seedling_specific	TraesCS2A03G0066100
seedling_specific	TraesCS2A03G0066500
seedling_specific	TraesCS2A03G0067400
seedling_specific	TraesCS2A03G0067500
seedling_specific	TraesCS2A03G0067600
seedling_specific	TraesCS2A03G0070500
seedling_specific	TraesCS2A03G0071800
seedling_specific	TraesCS2A03G0086100
seedling_specific	TraesCS2A03G0089300
seedling_specific	TraesCS2A03G0122500
seedling_specific	TraesCS2A03G0122600
seedling_specific	TraesCS2A03G0122800
seedling_specific	TraesCS2A03G0122900
seedling_specific	TraesCS2A03G0123600
seedling_specific	TraesCS2A03G0123800
seedling_specific	TraesCS2A03G0123900
seedling_specific	TraesCS2A03G0124100
seedling_specific	TraesCS2A03G0124200
seedling_specific	TraesCS2A03G0124400
seedling_specific	TraesCS2A03G0124500
seedling_specific	TraesCS2A03G0131900
seedling_specific	TraesCS2A03G0132000
seedling_specific	TraesCS2A03G0132100
seedling_specific	TraesCS2A03G0132200
seedling_specific	TraesCS2A03G0140600
seedling_specific	TraesCS2A03G0146100
seedling_specific	TraesCS2A03G0159100
seedling_specific	TraesCS2A03G0165100
seedling_specific	TraesCS2A03G0225000
seedling_specific	TraesCS2A03G0230600
seedling_specific	TraesCS2A03G0239500
seedling_specific	TraesCS2A03G0248900
seedling_specific	TraesCS2A03G0253900
seedling_specific	TraesCS2A03G0320500
seedling_specific	TraesCS2A03G0327500
seedling_specific	TraesCS2A03G0340700
seedling_specific	TraesCS2A03G0380600
seedling_specific	TraesCS2A03G0403400
seedling_specific	TraesCS2A03G0412600
seedling_specific	TraesCS2A03G0414700
seedling_specific	TraesCS2A03G0416400
seedling_specific	TraesCS2A03G0417000
seedling_specific	TraesCS2A03G0423600
seedling_specific	TraesCS2A03G0473200
seedling_specific	TraesCS2A03G0487000
seedling_specific	TraesCS2A03G0556400
seedling_specific	TraesCS2A03G0590900
seedling_specific	TraesCS2A03G0600700
seedling_specific	TraesCS2A03G0639500
seedling_specific	TraesCS2A03G0645400
seedling_specific	TraesCS2A03G0673900
seedling_specific	TraesCS2A03G0687300
seedling_specific	TraesCS2A03G0701000
seedling_specific	TraesCS2A03G0723300
seedling_specific	TraesCS2A03G0754200
seedling_specific	TraesCS2A03G0760900
seedling_specific	TraesCS2A03G0765800
seedling_specific	TraesCS2A03G0775000
seedling_specific	TraesCS2A03G0777900
seedling_specific	TraesCS2A03G0788900
seedling_specific	TraesCS2A03G0812000
seedling_specific	TraesCS2A03G0808300
seedling_specific	TraesCS2A03G0803600
seedling_specific	TraesCS2A03G0870300
seedling_specific	TraesCS2A03G0870900
seedling_specific	TraesCS2A03G0876700
seedling_specific	TraesCS2A03G0886700
seedling_specific	TraesCS2A03G0892400
seedling_specific	TraesCS2A03G0896600
seedling_specific	TraesCS2A03G0909800
seedling_specific	TraesCS2A03G0918200
seedling_specific	TraesCS2A03G0935300
seedling_specific	TraesCS2A03G0945200
seedling_specific	TraesCS2A03G0989900
seedling_specific	TraesCS2A03G1014400
seedling_specific	TraesCS2A03G1018300
seedling_specific	TraesCS2A03G1019000
seedling_specific	TraesCS2A03G1061900
seedling_specific	TraesCS2A03G1078000
seedling_specific	TraesCS2A03G1095300
seedling_specific	TraesCS2A03G1118000
seedling_specific	TraesCS2A03G1150100
seedling_specific	TraesCS2A03G1152300
seedling_specific	TraesCS2A03G1168000
seedling_specific	TraesCS2A03G1188700
seedling_specific	TraesCS2A03G1203400
seedling_specific	TraesCS2A03G1203600
seedling_specific	TraesCS2A03G1208500
seedling_specific	TraesCS2A03G1209900
seedling_specific	TraesCS2A03G1219200
seedling_specific	TraesCS2A03G1222500
seedling_specific	TraesCS2A03G1235000
seedling_specific	TraesCS2A03G1252600
