gene_id	n_TEs	n_sites	pct_CS	cov_CS	pct_CSxP	cov_CSxP	pct_P	cov_P
TraesCS4B03G0495700	3	142	97.2241960142349	1405	95.1724222413793	1160	96.9083595278246	1779
TraesCS4B03G0496000	3	58	93.7219588938714	669	93.8499419434194	813	88.7991801210898	991
TraesCS4B03G0496400	2	38	94.1520479532164	342	96.2962888888889	486	92.8933739424704	591
TraesCS4B03G0496500	5	327	70.7605475904504	4063	66.4952914316049	4474	81.796759376226	5098
TraesCS4B03G0496800	1	5	81.0526	95	79.2079	101	95.0495	101
TraesCS4B03G0497600	3	35	91.3533437969925	532	93.0041166666667	486	92.4855342967245	519
TraesCS4B03G0497800	3	60	95.2903976452119	637	95.388372815534	824	95.3488638372093	860
TraesCS4B03G0498100	4	8	76.3313633136095	169	83.0508342372882	177	79.2134719101124	178
TraesCS4B03G0498300	5	124	91.2425860946746	1690	91.14191339381	1874	93.1066634373545	2147
TraesCS4B03G0498500	3	11	91.1329852216749	203	93.9394131313131	198	85.416665625	288
TraesCS4B03G0499300	5	81	91.1706744277306	1529	91.7851424170616	1266	92.708328125	1632
TraesCS4B03G0500100	1	78	96.2649	589	95.499	511	94.6023	704
TraesCS4B03G0500200	5	12	72.9007541984733	262	68.2835746268657	268	71.910125093633	267
TraesCS4B03G0501400	1	3	80.4878	41	75.3425	73	65.0602	83
TraesCS4B03G0502100	1	17	86.7647	340	83.8889	360	81.3063	444
TraesCS4B03G0502600	5	114	94.1601391330524	1661	95.5627769480519	1848	94.5578155004859	2058
TraesCS4B03G0503000	2	48	94.666632	750	95.7831104819277	830	96.7479243902439	738
TraesCS4B03G0503100	2	64	82.0215487158244	1207	80.6310141104295	1141	74.0959997036159	1687
TraesCS4B03G0503200	3	150	79.9849478555305	1329	72.229057635468	1624	79.8847852802514	1909
TraesCS4B03G0503400	1	182	43.7011	2556	46.1917	2639	45.2735	2761
TraesCS4B03G0503700	2	92	95.2090707317073	1148	95.9480209480122	1308	96.4071857618097	1503
TraesCS4B03G0503900	2	8	93.3333561904762	105	92.4242333333333	132	91.7647247058824	170
TraesCS4B03G0504100	1	8	91.8605	86	96.9697	99	95.3333	150
TraesCS4B03G0504200	2	81	89.0847359322034	1475	85.0264007915567	1516	88.3708973433584	1995
