"gene","category"
"TraesCS2B03G1169000","Conserved"
"TraesCS6B03G1111900","Trans only"
"TraesCS2B03G1257700","Trans only"
"TraesCS3B03G0248100","Ambiguous"
"TraesCS6B03G1091900","Trans only"
"TraesCS1B03G0494100","Conserved"
"TraesCS5B03G0278400","Conserved"
"TraesCS5B03G0904200","Ambiguous"
"TraesCS3B03G0236200","Trans only"
"TraesCS5B03G0918500","Ambiguous"
"TraesCS5B03G0745100","Conserved"
"TraesCS7B03G1200500","Ambiguous"
"TraesCS3B03G0959100","Ambiguous"
"TraesCS1B03G0663400","Ambiguous"
"TraesCS1B03G0794700","Conserved"
"TraesCS2B03G1351700","Ambiguous"
"TraesCS3B03G1350700","Conserved"
"TraesCS7B03G1185200","Trans only"
"TraesCS6B03G0739300","Ambiguous"
"TraesCS2B03G0906400","Ambiguous"
"TraesCS2B03G0579800","Cis only"
"TraesCS6B03G1024300","Conserved"
"TraesCS6B03G0583900","Ambiguous"
"TraesCS1B03G0341500","Conserved"
"TraesCS3B03G1501900","Ambiguous"
"TraesCS7B03G0392300","Ambiguous"
"TraesCS6B03G1166500","Conserved"
"TraesCS4B03G0628700","Conserved"
"TraesCS5B03G0619800","Ambiguous"
"TraesCS3B03G0286900","Ambiguous"
"TraesCS1B03G0144000","Conserved"
"TraesCS1B03G0044800","Conserved"
"TraesCS7B03G0149400","Cis only"
"TraesCS3B03G0623800","Conserved"
"TraesCS4B03G0029700","Ambiguous"
"TraesCS3B03G0327700","Ambiguous"
"TraesCS3B03G0927900","Ambiguous"
"TraesCS2B03G1235600","Ambiguous"
"TraesCS2B03G1137600","Ambiguous"
"TraesCS6B03G0380000","Ambiguous"
"TraesCS6B03G0461000","Ambiguous"
"TraesCS5B03G0160200","Conserved"
"TraesCS2B03G1103500","Ambiguous"
"TraesCS6B03G0370800","Ambiguous"
"TraesCS3B03G0303600","Ambiguous"
"TraesCS5B03G0338200","Conserved"
"TraesCS5B03G0918300","Conserved"
"TraesCS3B03G0871900","Conserved"
"TraesCS1B03G1021800","Ambiguous"
"TraesCS5B03G0955900","Ambiguous"
"TraesCS1B03G0321200","Conserved"
"TraesCS1B03G1014600","Ambiguous"
"TraesCS1B03G0934900","Conserved"
"TraesCS5B03G0592600","Conserved"
"TraesCS6B03G1038400","Ambiguous"
"TraesCS6B03G0770900","Conserved"
"TraesCS2B03G0434600","Cis only"
"TraesCS3B03G1130000","Conserved"
"TraesCS6B03G0462600","Conserved"
"TraesCS3B03G0912100","Ambiguous"
"TraesCS5B03G0461300","Conserved"
"TraesCS4B03G0818100","Ambiguous"
"TraesCS2B03G0397100","Trans only"
"TraesCS1B03G0646900","Cis × trans"
"TraesCS3B03G0716500","Conserved"
"TraesCS4B03G0899400","Conserved"
"TraesCS3B03G0397400","Ambiguous"
