gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1B03G0756500	27	530	18	530	23	585	5.09433962264151	3.39622641509434	3.93162393162393	B	conserved_mC	Conserved
TraesCS1B03G0758600	17	839	12	868	28	893	2.02622169249106	1.38248847926267	3.13549832026876	B	conserved_mC	Conserved
TraesCS1B03G0758900	21	835	25	870	59	968	2.51497005988024	2.8735632183908	6.09504132231405	B	conserved_mC	Conserved
TraesCS1B03G0761100	7	218	5	214	5	178	3.21100917431193	2.33644859813084	2.80898876404494	B	conserved_mC	Conserved
TraesCS1B03G0764800	18	845	11	783	27	890	2.1301775147929	1.40485312899106	3.03370786516854	B	conserved_mC	Conserved
TraesCS1B03G0765200	30	1342	26	1442	42	1614	2.2354694485842	1.80305131761442	2.60223048327138	B	conserved_mC	Conserved
TraesCS1B03G0766200	17	666	14	707	14	934	2.55255255255255	1.98019801980198	1.49892933618844	B	conserved_mC	Conserved
TraesCS1B03G0766500	11	646	14	710	24	916	1.70278637770898	1.97183098591549	2.62008733624454	B	conserved_mC	Trans only
TraesCS1B03G0768600	3	279	4	325	4	285	1.0752688172043	1.23076923076923	1.40350877192982	B	conserved_mC	Conserved
TraesCS1B03G0769500	22	1306	17	990	17	1052	1.68453292496172	1.71717171717172	1.61596958174905	B	conserved_mC	Conserved
TraesCS1B03G0770100	10	822	15	782	13	739	1.21654501216545	1.91815856777494	1.75913396481732	B	conserved_mC	Conserved
TraesCS1B03G0794700	9	699	15	800	20	870	1.28755364806867	1.875	2.29885057471264	B	conserved_mC	Conserved
TraesCS1B03G0795600	13	890	12	805	20	896	1.46067415730337	1.49068322981366	2.23214285714286	B	conserved_mC	Conserved
TraesCS1B03G0812400	12	496	10	598	24	520	2.41935483870968	1.67224080267559	4.61538461538462	B	conserved_mC	Conserved
TraesCS1B03G0813000	0	114	1	92	2	41	0	1.08695652173913	4.87804878048781	B	conserved_mC	Conserved
TraesCS1B03G0828400	21	846	18	907	25	983	2.4822695035461	1.9845644983462	2.54323499491353	B	conserved_mC	Conserved
TraesCS1B03G0832300	13	791	19	901	15	1129	1.64348925410872	2.10876803551609	1.32860938883968	B	conserved_mC	Conserved
TraesCS1B03G0835000	6	420	1	491	7	514	1.42857142857143	0.203665987780041	1.36186770428016	B	conserved_mC	Conserved
TraesCS1B03G0852700	34	1239	22	1295	35	1703	2.74414850686037	1.6988416988417	2.05519671168526	B	conserved_mC	Conserved
TraesCS1B03G0861700	27	1004	33	1019	29	1016	2.68924302788845	3.23846908734053	2.85433070866142	B	conserved_mC	Conserved
TraesCS1B03G0868000	21	974	18	1094	26	1418	2.15605749486653	1.64533820840951	1.83356840620592	B	conserved_mC	Conserved
TraesCS1B03G0868300	14	766	14	726	12	886	1.82767624020888	1.92837465564738	1.35440180586907	B	conserved_mC	Conserved
TraesCS1B03G0871200	20	98	42	127	22	85	20.4081632653061	33.0708661417323	25.8823529411765	B	overdominant	Conserved
TraesCS1B03G0873500	12	730	17	709	12	755	1.64383561643836	2.39774330042313	1.58940397350993	B	conserved_mC	Conserved
TraesCS1B03G0876200	16	694	9	740	12	899	2.30547550432277	1.21621621621622	1.33481646273637	B	conserved_mC	Conserved
