"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesCS5D03G0376500","CSxP1",0.749055,0.966554039979141,0.538461538461539,-0.222392420191452,18,21
"TraesCS5D03G0387400","CSxP1",0.693645,0.937585096312603,0.524271844660194,-0.140177657775642,49,54
"TraesCS5D03G0067600","CSxP1",1,1,0.518518518518519,-0.106915203123822,13,14
"TraesCS5D03G0409200","CSxP1",1,1,0.5,0,16,16
"TraesCS5D03G0416000","CSxP1",1,1,0.529411764705882,0.169924999438569,9,8
"TraesCS5D03G0416100","CSxP1",0.91474,1,0.511627906976744,0.0671141957024013,44,42
"TraesCS5D03G0430500","CSxP1",0.889722,1,0.51923076923077,-0.111031311961279,25,27
"TraesCS5D03G0077800","CSxP1",0.000117,0.000881447852760736,0.638557437533568,0.573466861319989,125,84
"TraesCS5D03G0095100","CSxP1",0.742845,0.966554039979141,0.540540540540541,0.234465252364057,20,17
"TraesCS5D03G0113000","CSxP1",0.791593,0.974838245696139,0.515625,0.0901978088305522,66,62
"TraesCS5D03G0170100","CSxP1",0.427688,0.735225685094472,0.551282051282052,0.29698173699025,43,35
"TraesCS5D03G0028600","CSxP1",0.047836,0.16759659914408,0.637931034482759,0.817135939879389,37,21
"TraesCS5D03G0184600","CSxP1",1,1,0.545454545454545,0.26303440102481,6,5
"TraesCS5D03G0451700","CSxP1",0.301533,0.604916,0.666666666666667,-0.99999998557305,5,10
"TraesCS5D03G0658000","CSxP1",0.803298,0.98061459407579,0.5625,0.362570074804724,9,7
"TraesCS5D03G0671500","CSxP1",0.360325,0.666036153498871,0.546218487394958,0.267480310412859,65,54
"TraesCS5D03G0699200","CSxP1",1,1,0.545454545454545,0.26303440102481,6,5
"TraesCS5D03G0706400","CSxP1",0.51067,0.80933890298989,0.567567567567568,0.392317420631893,21,16
"TraesCS5D03G0707400","CSxP1",0.548117,0.836653145454545,0.636363636363636,0.807354906600158,7,4
"TraesCS5D03G0726600","CSxP1",0.095298,0.282216906752412,0.540723981900452,-0.235530890688523,203,239
"TraesCS5D03G0756500","CSxP1",0.636732,0.894289244376668,0.526785714285715,0.154722594521822,59,53
"TraesCS5D03G0772500","CSxP1",0.331844,0.639454022425033,0.647058823529412,0.874469106986633,11,6
"TraesCS5D03G0790600","CSxP1",0.753603,0.966554039979141,0.6,0.584962488698698,6,4
"TraesCS5D03G0820700","CSxP1",0.086114,0.263491674418605,0.597701149425287,-0.571156699848553,35,52
"TraesCS5D03G0823700","CSxP1",0.253183,0.546252516544656,0.591836734693877,-0.536052898001545,20,29
"TraesCS5D03G0872100","CSxP1",0.038552,0.142667572074335,0.833333333333333,-2.32192803717956,2,10
"TraesCS5D03G0881500","CSxP1",0.804585,0.980837571144937,0.523076923076923,0.13326653045283,34,31
"TraesCS5D03G0915800","CSxP1",0.272388,0.568381417162277,0.584905660377358,0.494764689845728,31,22
"TraesCS5D03G0921200","CSxP1",0.089927,0.272331334155364,0.567084085469068,0.389566811421325,131,100
"TraesCS5D03G0929900","CSxP1",1,1,0.5,0,80,80
"TraesCS5D03G0952800","CSxP1",1,1,0.538461538461539,0.22239241790146,7,6
"TraesCS5D03G0957800","CSxP1",0.066013,0.215500125830749,0.651162790697674,0.900464321983601,28,15
"TraesCS5D03G0969100","CSxP1",0.717175,0.954333646378905,0.515789473684211,0.0911478879621862,98,92
"TraesCS5D03G0995500","CSxP1",0.07826,0.244893821882952,0.704774533081614,-0.106915203123822,13,14
"TraesCS5D03G0995700","CSxP1",0.009078,0.0434329246753247,0.643407104005554,-0.852442809798186,36,65
"TraesCS5D03G0996500","CSxP1",0.1558,0.393937680164722,0.621157820771614,0.688055990645098,29,18
"TraesCS5D03G0996600","CSxP1",0.583129,0.857583726946108,0.547169811320754,0.273018493369997,29,24
"TraesCS5D03G0996900","CSxP1",0.179186,0.433559544502618,0.714285714285714,1.32192807324694,10,4
"TraesCS5D03G1000500","CSxP1",0.023732,0.0963401520661157,0.614201611976448,-0.670692373652373,49,78
"TraesCS5D03G1000600","CSxP1",0.581319,0.85646633046953,0.615384615384615,-0.678071894292425,5,8
"TraesCS5D03G1000700","CSxP1",0.604958,0.874164372438024,0.571385524660646,0.0274807363697596,53,52
"TraesCS5D03G1000900","CSxP1",0.257012,0.551343408614668,0.565533240596344,0.113316523487224,278,257
"TraesCS5D03G1016800","CSxP1",4e-06,3.72591656131479e-05,0.628388822717039,0.753716958027012,231,137
"TraesCS5D03G1024200","CSxP1",0.209567,0.482091095813953,0.626362898050579,0.117356950447124,64,59
"TraesCS5D03G1027000","CSxP1",0.33991,0.646526313290323,0.608695652173913,0.637429917752802,28,18
"TraesCS5D03G1027300","CSxP1",0.383195,0.691830477590007,0.619047619047619,-0.700439711205058,8,13
"TraesCS5D03G1027900","CSxP1",0.090189,0.272900432032854,0.550577864876438,0.293046974780774,272,222
"TraesCS5D03G1028400","CSxP1",0.001391,0.00844920692497939,0.594725763249782,-0.546894459532026,128,187
"TraesCS5D03G1030900","CSxP1",0.759564,0.968749792625931,0.509090909090911,-0.0524674198668738,189,196
"TraesCS5D03G1032300","CSxP1",0.165171,0.410767865001687,0.579545454545455,-0.462971975272184,37,51
"TraesCS5D03G1058600","CSxP1",1,1,0.5,0,13,13
"TraesCS5D03G1084100","CSxP1",1,1,0.526315789473684,-0.152003091842056,9,10
"TraesCS5D03G1090800","CSxP1",0.38227,0.691830477590007,0.5625,0.362570078239712,36,28
"TraesCS5D03G1091200","CSxP1",0.302453,0.604916,0.58695652173913,0.506959986470066,27,19
"TraesCS5D03G1100600","CSxP1",0.629988,0.889662701418168,0.588235294117647,0.51457316664678,10,7
"TraesCS5D03G1107700","CSxP1",0.63519,0.893606225954198,0.535211267605634,0.203533393509895,38,33
"TraesCS5D03G1123700","CSxP1",0.442457,0.749775339466421,0.557377049180328,0.332575337986777,34,27
"TraesCS5D03G1128300","CSxP1",0.257852,0.552283004651163,0.553030303030303,0.307181509049225,73,59
"TraesCS5D03G1132000","CSxP1",0.000285,0.00200370229007634,0.693960085517233,1.18057224295445,68,30
"TraesCS5D03G1133500","CSxP1",0.738727,0.966554039979141,0.52305568951147,0.0221957460971217,131,129
"TraesCS5D03G1133900","CSxP1",0.423886,0.732618302036994,0.642857142857143,0.847996893730994,9,5
"TraesCS5D03G1134100","CSxP1",0.050163,0.174093727743759,0.6875,-1.13750351588069,10,22
"TraesCS5D03G1135300","CSxP1",0.003349,0.0183596964285714,0.65260781721792,-0.785495487296876,76,131
"TraesCS5D03G1139700","CSxP1",0.247984,0.53818736730486,0.62962962962963,0.765534740422468,17,10
"TraesCS5D03G1141400","CSxP1",0.737881,0.966554039979141,0.575687145376846,-0.440572588674149,14,19
"TraesCS5D03G1144000","CSxP1",0,0,0.803418803418803,2.03102689088282,94,23
"TraesCS5D03G1152700","CSxP1",0,0,0.808850377213029,1.82347458625787,315,89
"TraesCS5D03G1165500","CSxP1",0.396119,0.702928134842283,0.548774222388959,0.281770968164436,124,102
