"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesPARA_EIv1.0_1287400","PxCS1",0.199976,0.541623954145969,0.551136363636363,-0.296132093671143,79,97
"TraesPARA_EIv1.0_1287480","PxCS1",0.000978,0.0081553694117647,0.640232928153017,-0.823122237111743,78,138
"TraesPARA_EIv1.0_1287520","PxCS1",2e-04,0.00195531034482759,0.650199256024107,-0.810029055550963,77,135
"TraesPARA_EIv1.0_1287540","PxCS1",0.440947,0.804617104155977,0.549526636976361,-0.154328146155229,62,69
"TraesPARA_EIv1.0_1287580","PxCS1",0.57161,0.903594359866221,0.530973451327433,0.178970140727745,60,53
"TraesPARA_EIv1.0_1287740","PxCS1",0.110337,0.372597823725584,0.65625,-0.93288579789603,11,21
"TraesPARA_EIv1.0_1287760","PxCS1",0,0,0.873285350972782,-2.75488748680144,8,54
"TraesPARA_EIv1.0_1287840","PxCS1",1,1,0.545454545454545,0.26303440102481,6,5
"TraesPARA_EIv1.0_1287980","PxCS1",0.070934,0.27777911160221,0.567322954713054,0.389502406972085,224,171
"TraesPARA_EIv1.0_1287990","PxCS1",0.827369,1,0.554910019803623,0,18,18
"TraesPARA_EIv1.0_1288010","PxCS1",1,1,0.545454545454545,-0.26303440102481,5,6
"TraesPARA_EIv1.0_1288170","PxCS1",0.018999,0.103429271889401,0.62696450560313,-0.573185331791108,41,61
"TraesPARA_EIv1.0_1288190","PxCS1",0.116661,0.386944434253627,0.552546335260229,-0.128065038736588,237,259
"TraesPARA_EIv1.0_1288200","PxCS1",0.449187,0.813448506898314,0.537612585219167,0.0435016385928595,101,98
"TraesPARA_EIv1.0_1288250","PxCS1",0.688028,0.974719286197969,0.534732633956703,0.037089318716149,197,192
"TraesPARA_EIv1.0_1288350","PxCS1",0.010159,0.063207550877193,0.682334358000347,-1.10433665595637,20,43
"TraesPARA_EIv1.0_1288440","PxCS1",0.442346,0.804617104155977,0.557377049180328,-0.332575337986777,27,34
"TraesPARA_EIv1.0_1288470","PxCS1",0.010894,0.0667964290657439,0.665166328940523,-0.637429919184047,36,56
"TraesPARA_EIv1.0_1288480","PxCS1",0.627583,0.937735261435166,0.552631578947368,0.304854579911956,21,17
"TraesPARA_EIv1.0_1288500","PxCS1",0.108415,0.3721893575179,0.644874451100475,-0.722466021629419,20,33
"TraesPARA_EIv1.0_1288520","PxCS1",0.920324,1,0.55081198235967,0.295455882311782,27,22
"TraesPARA_EIv1.0_1288590","PxCS1",0.539984,0.886313091581869,0.605617345537464,-0.618909830847116,28,43
"TraesPARA_EIv1.0_1288650","PxCS1",0.743794,1,0.523809523809523,-0.13750352342205,40,44
"TraesPARA_EIv1.0_1288670","PxCS1",0.762045,1,0.527147184082538,-0.0671141958064917,126,132
"TraesPARA_EIv1.0_1289050","PxCS1",1,1,0.521739130434783,-0.125530880990908,11,12
"TraesPARA_EIv1.0_1289150","PxCS1",1,1,0.533333333333333,-0.192645075366155,7,8
"TraesPARA_EIv1.0_1289160","PxCS1",0.098405,0.350246069242348,0.666666666666667,-0.999999992786525,10,20
"TraesPARA_EIv1.0_1289170","PxCS1",0.910704,1,0.515667875208937,0,63,63
"TraesPARA_EIv1.0_1289240","PxCS1",0.343373,0.718825200587371,0.7,1.22239239385654,7,3
"TraesPARA_EIv1.0_1289250","PxCS1",0.000606,0.00541655485498108,0.648628474481156,0.878693702716461,114,62
"TraesPARA_EIv1.0_1289310","PxCS1",0,0,0.675891971765752,-1.01227832915668,117,236
"TraesPARA_EIv1.0_1289400","PxCS1",0.059059,0.24409170845481,0.628825646811715,0.527247001565924,49,34
"TraesPARA_EIv1.0_1289410","PxCS1",0.118502,0.390261004176334,0.733333333333333,-1.45943159568533,4,11
"TraesPARA_EIv1.0_1289460","PxCS1",0.442737,0.804852489356245,0.592592592592593,-0.540568377264138,11,16
"TraesPARA_EIv1.0_1289550","PxCS1",0.540605,0.886313091581869,0.583333333333333,-0.485426823048256,10,14
"TraesPARA_EIv1.0_1289630","PxCS1",0.429006,0.793090828683181,0.592710755063418,0.366127898079314,58,45
"TraesPARA_EIv1.0_1289760","PxCS1",0.435443,0.800464236514523,0.629346375935981,-0.765534740422468,10,17
