gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1B03G0544000	110	526	103	483	98	491	20.9125475285171	21.3250517598344	19.959266802444	B	conserved_mC	Conserved
TraesCS1B03G0549000	1073	2471	873	2568	1249	2664	43.4237150951032	33.9953271028037	46.8843843843844	B	underdominant	Conserved
TraesCS1B03G0550700	55	2786	62	2605	47	2644	1.97415649676956	2.38003838771593	1.77760968229955	B	conserved_mC	Conserved
TraesCS1B03G0551400	166	941	155	1013	179	771	17.6408076514346	15.3010858835143	23.2166018158236	B	conserved_mC	Conserved
TraesCS1B03G0552300	785	986	605	884	734	1172	79.6146044624747	68.4389140271493	62.6279863481229	B	additive	Conserved
TraesCS1B03G0562200	614	1471	491	1211	560	1272	41.7403127124405	40.5450041288192	44.0251572327044	B	conserved_mC	Conserved
TraesCS1B03G0563500	11	869	20	874	19	952	1.26582278481013	2.2883295194508	1.99579831932773	B	conserved_mC	Conserved
TraesCS1B03G0564700	354	949	270	1088	404	1167	37.3024236037935	24.8161764705882	34.6186803770351	B	underdominant	Conserved
TraesCS1B03G0565000	84	4104	79	3848	102	4736	2.04678362573099	2.05301455301455	2.15371621621622	B	conserved_mC	Conserved
TraesCS1B03G0565300	110	1074	130	1346	125	936	10.2420856610801	9.65824665676077	13.3547008547009	B	conserved_mC	Conserved
TraesCS1B03G0587600	316	1450	309	1201	348	1293	21.7931034482759	25.7285595337219	26.9141531322506	B	conserved_mC	Conserved
TraesCS1B03G0591000	521	3601	427	3792	729	4427	14.4682032768675	11.2605485232068	16.4671334989835	B	conserved_mC	Conserved
TraesCS1B03G0591800	47	2568	57	2626	92	3151	1.83021806853583	2.17060167555217	2.91970802919708	B	conserved_mC	Conserved
TraesCS1B03G0592200	595	842	441	672	776	1028	70.6650831353919	65.625	75.4863813229572	B	underdominant	Conserved
TraesCS1B03G0594300	558	1139	719	1525	771	1636	48.990342405619	47.1475409836066	47.1271393643032	B	conserved_mC	Conserved
TraesCS1B03G0596600	98	636	112	482	178	554	15.4088050314465	23.2365145228216	32.129963898917	B	additive	Conserved
TraesCS1B03G0597800	487	805	499	716	547	962	60.4968944099379	69.6927374301676	56.8607068607069	B	overdominant	Conserved
TraesCS1B03G0598300	957	1677	971	1867	1113	1934	57.0661896243292	52.0085698982325	57.5491209927611	B	conserved_mC	Conserved
TraesCS1B03G0599800	185	1364	217	1410	224	1568	13.5630498533724	15.3900709219858	14.2857142857143	B	conserved_mC	Conserved
TraesCS1B03G0600400	1313	1732	1254	1685	1366	1699	75.8083140877598	74.4213649851632	80.4002354326074	B	conserved_mC	Conserved
TraesCS1B03G0601000	175	492	133	448	177	483	35.5691056910569	29.6875	36.6459627329193	B	conserved_mC	Conserved
TraesCS1B03G0604000	326	376	310	331	377	420	86.7021276595745	93.6555891238671	89.7619047619048	B	conserved_mC	Conserved
TraesCS1B03G0607400	68	3066	64	3286	64	3262	2.21787345075016	1.94765672550213	1.96198651134273	B	conserved_mC	Conserved
TraesCS1B03G0607600	2173	3299	2345	3450	2424	3911	65.8684449833283	67.9710144927536	61.9790334952698	B	conserved_mC	Conserved
