"gene","category"
"TraesPARA_EIv1.0_0026350","Conserved"
"TraesPARA_EIv1.0_0026400","Conserved"
"TraesPARA_EIv1.0_0026510","Conserved"
"TraesPARA_EIv1.0_0026680","Trans only"
"TraesPARA_EIv1.0_0026720","Conserved"
"TraesPARA_EIv1.0_0026750","Trans only"
"TraesPARA_EIv1.0_0027300","Trans only"
"TraesPARA_EIv1.0_0027540","Ambiguous"
"TraesPARA_EIv1.0_0027570","Conserved"
"TraesPARA_EIv1.0_0027710","Ambiguous"
"TraesPARA_EIv1.0_0027850","Conserved"
"TraesPARA_EIv1.0_0028080","Conserved"
"TraesPARA_EIv1.0_0028110","Conserved"
"TraesPARA_EIv1.0_0028120","Ambiguous"
"TraesPARA_EIv1.0_0028190","Ambiguous"
"TraesPARA_EIv1.0_0028530","Conserved"
"TraesPARA_EIv1.0_0028590","Conserved"
"TraesPARA_EIv1.0_0029180","Conserved"
"TraesPARA_EIv1.0_0029190","Ambiguous"
"TraesPARA_EIv1.0_0029230","Ambiguous"
"TraesPARA_EIv1.0_0029640","Conserved"
"TraesPARA_EIv1.0_0029780","Compensatory"
"TraesPARA_EIv1.0_0030010","Trans only"
"TraesPARA_EIv1.0_0030040","Conserved"
"TraesPARA_EIv1.0_0030170","Conserved"
"TraesPARA_EIv1.0_0030180","Ambiguous"
"TraesPARA_EIv1.0_0030300","Ambiguous"
"TraesPARA_EIv1.0_0030320","Conserved"
"TraesPARA_EIv1.0_0030640","Conserved"
"TraesPARA_EIv1.0_0030690","Conserved"
"TraesPARA_EIv1.0_0031320","Conserved"
"TraesPARA_EIv1.0_0031340","Ambiguous"
"TraesPARA_EIv1.0_0031530","Ambiguous"
"TraesPARA_EIv1.0_0031560","Conserved"
"TraesPARA_EIv1.0_0031650","Ambiguous"
"TraesPARA_EIv1.0_0031680","Ambiguous"
"TraesPARA_EIv1.0_0032020","Ambiguous"
"TraesPARA_EIv1.0_0032110","Conserved"
"TraesPARA_EIv1.0_0032350","Ambiguous"
"TraesPARA_EIv1.0_0032380","Conserved"
"TraesPARA_EIv1.0_0032390","Conserved"
"TraesPARA_EIv1.0_0032560","Conserved"
"TraesPARA_EIv1.0_0032570","Ambiguous"
"TraesPARA_EIv1.0_0032630","Ambiguous"
"TraesPARA_EIv1.0_0032730","Ambiguous"
"TraesPARA_EIv1.0_0032840","Ambiguous"
"TraesPARA_EIv1.0_0033050","Ambiguous"
"TraesPARA_EIv1.0_0033690","Conserved"
"TraesPARA_EIv1.0_0033720","Ambiguous"
"TraesPARA_EIv1.0_0035010","Conserved"
"TraesPARA_EIv1.0_0035180","Ambiguous"
"TraesPARA_EIv1.0_0035640","Ambiguous"
"TraesPARA_EIv1.0_0036270","Conserved"
"TraesPARA_EIv1.0_0036320","Ambiguous"
"TraesPARA_EIv1.0_0036400","Conserved"
"TraesPARA_EIv1.0_0036440","Ambiguous"
"TraesPARA_EIv1.0_0036550","Conserved"
"TraesPARA_EIv1.0_0036580","Ambiguous"
"TraesPARA_EIv1.0_0036620","Conserved"
"TraesPARA_EIv1.0_0036640","Conserved"
"TraesPARA_EIv1.0_0036710","Conserved"
"TraesPARA_EIv1.0_0036780","Ambiguous"
"TraesPARA_EIv1.0_0037330","Conserved"
"TraesPARA_EIv1.0_0037950","Ambiguous"
