"gene","category"
"TraesCS1A03G0163300","Compensatory"
"TraesCS1A03G0166300","Ambiguous"
"TraesCS1A03G0166400","Conserved"
"TraesCS1A03G0166600","Ambiguous"
"TraesCS1A03G0167300","Ambiguous"
"TraesCS1A03G0170700","Ambiguous"
"TraesCS1A03G0172300","Conserved"
"TraesCS1A03G0174900","Ambiguous"
"TraesCS1A03G0197600","Ambiguous"
"TraesCS1A03G0207500","Conserved"
"TraesCS1A03G0213700","Conserved"
"TraesCS1A03G0233900","Conserved"
"TraesCS1A03G0037900","Trans only"
"TraesCS1A03G0591800","Conserved"
"TraesCS1A03G0592800","Ambiguous"
"TraesCS1A03G0450000","Ambiguous"
"TraesCS1A03G0593600","Trans only"
"TraesCS1A03G0597200","Ambiguous"
"TraesCS1A03G0465100","Conserved"
"TraesCS1A03G0605200","Conserved"
"TraesCS1A03G0605700","Ambiguous"
"TraesCS1A03G0608100","Ambiguous"
"TraesCS1A03G0608300","Ambiguous"
"TraesCS1A03G0610200","Conserved"
"TraesCS1A03G0466600","Ambiguous"
"TraesCS1A03G0610900","Ambiguous"
"TraesCS1A03G0612400","Conserved"
"TraesCS1A03G0615800","Conserved"
"TraesCS1A03G0617500","Conserved"
"TraesCS1A03G0622000","Conserved"
"TraesCS1A03G0622500","Conserved"
"TraesCS1A03G0623200","Ambiguous"
"TraesCS1A03G0623400","Conserved"
"TraesCS1A03G0623600","Conserved"
"TraesCS1A03G0623900","Conserved"
"TraesCS1A03G0625600","Conserved"
"TraesCS1A03G0626000","Conserved"
"TraesCS1A03G0627000","Ambiguous"
"TraesCS1A03G0632600","Ambiguous"
"TraesCS1A03G0634200","Conserved"
"TraesCS1A03G0634400","Conserved"
"TraesCS1A03G0637300","Ambiguous"
"TraesCS1A03G0637500","Ambiguous"
"TraesCS1A03G0638500","Ambiguous"
"TraesCS1A03G0471200","Conserved"
"TraesCS1A03G0642300","Ambiguous"
"TraesCS1A03G0642700","Ambiguous"
"TraesCS1A03G0642800","Ambiguous"
"TraesCS1A03G0643000","Conserved"
"TraesCS1A03G0644400","Conserved"
"TraesCS1A03G0644900","Conserved"
"TraesCS1A03G0645000","Ambiguous"
"TraesCS1A03G0645500","Conserved"
"TraesCS1A03G0645900","Ambiguous"
"TraesCS1A03G0646500","Ambiguous"
"TraesCS1A03G0646900","Conserved"
"TraesCS1A03G0471300","Ambiguous"
"TraesCS1A03G0647900","Ambiguous"
"TraesCS1A03G0648400","Conserved"
"TraesCS1A03G0649100","Conserved"
"TraesCS1A03G0650800","Conserved"
"TraesCS1A03G0651100","Conserved"
"TraesCS1A03G0652400","Conserved"
"TraesCS1A03G0653600","Ambiguous"
"TraesCS1A03G0657000","Ambiguous"
"TraesCS1A03G0660000","Ambiguous"
"TraesCS1A03G0472600","Ambiguous"
"TraesCS1A03G0664300","Ambiguous"
"TraesCS1A03G0669400","Ambiguous"
"TraesCS1A03G0473800","Conserved"
"TraesCS1A03G0672500","Conserved"
"TraesCS1A03G0672800","Conserved"
"TraesCS1A03G0673200","Ambiguous"
"TraesCS1A03G0673800","Ambiguous"
"TraesCS1A03G0674000","Conserved"
"TraesCS1A03G0674400","Ambiguous"
"TraesCS1A03G0674500","Ambiguous"
"TraesCS1A03G0676100","Conserved"
"TraesCS1A03G0676500","Ambiguous"
"TraesCS1A03G0677300","Conserved"
"TraesCS1A03G0680800","Ambiguous"
"TraesCS1A03G0681600","Conserved"
"TraesCS1A03G0682400","Conserved"
"TraesCS1A03G0682500","Conserved"
"TraesCS1A03G0685100","Ambiguous"
"TraesCS1A03G0692100","Conserved"
"TraesCS1A03G0697900","Ambiguous"
"TraesCS1A03G0699400","Conserved"
"TraesCS1A03G0699700","Conserved"
"TraesCS1A03G0701000","Conserved"
"TraesCS1A03G0701700","Conserved"
"TraesCS1A03G0702200","Conserved"
"TraesCS1A03G0703100","Ambiguous"
"TraesCS1A03G0703600","Conserved"
"TraesCS1A03G0475600","Conserved"
"TraesCS1A03G0716700","Ambiguous"
"TraesCS1A03G0718400","Conserved"
"TraesCS1A03G0730300","Ambiguous"
"TraesCS1A03G0731000","Ambiguous"
"TraesCS1A03G0731300","Ambiguous"
"TraesCS1A03G0740800","Ambiguous"
"TraesCS1A03G0741900","Ambiguous"
"TraesCS1A03G0742500","Ambiguous"
"TraesCS1A03G0742600","Conserved"
"TraesCS1A03G0744600","Conserved"
"TraesCS1A03G0744900","Ambiguous"
"TraesCS1A03G0745300","Ambiguous"
"TraesCS1A03G0747100","Ambiguous"
"TraesCS1A03G0747900","Conserved"
"TraesCS1A03G0748300","Conserved"
"TraesCS1A03G0753500","Conserved"
"TraesCS1A03G0754600","Conserved"
"TraesCS1A03G0756400","Ambiguous"
"TraesCS1A03G0756800","Conserved"
"TraesCS1A03G0765900","Conserved"
"TraesCS1A03G0770600","Conserved"
"TraesCS1A03G0451800","Conserved"
"TraesCS1A03G0771900","Ambiguous"
"TraesCS1A03G0772000","Conserved"
"TraesCS1A03G0773400","Conserved"
"TraesCS1A03G0774200","Conserved"
"TraesCS1A03G0775900","Conserved"
"TraesCS1A03G0776200","Compensatory"
"TraesCS1A03G0782200","Conserved"
"TraesCS1A03G0782700","Ambiguous"
"TraesCS1A03G0782800","Conserved"
"TraesCS1A03G0787500","Conserved"
"TraesCS1A03G0790900","Ambiguous"
"TraesCS1A03G0791800","Conserved"
"TraesCS1A03G0793500","Conserved"
"TraesCS1A03G0477800","Conserved"
"TraesCS1A03G0796400","Ambiguous"
"TraesCS1A03G0796800","Conserved"
"TraesCS1A03G0797000","Conserved"
"TraesCS1A03G0797200","Ambiguous"
"TraesCS1A03G0799600","Cis + trans"
"TraesCS1A03G0803600","Ambiguous"
"TraesCS1A03G0805700","Ambiguous"
"TraesCS1A03G0808300","Conserved"
"TraesCS1A03G0809200","Conserved"
"TraesCS1A03G0809600","Ambiguous"
"TraesCS1A03G0810700","Conserved"
"TraesCS1A03G0811000","Compensatory"
"TraesCS1A03G0811600","Conserved"
"TraesCS1A03G0812400","Conserved"
"TraesCS1A03G0813100","Compensatory"
"TraesCS1A03G0815300","Ambiguous"
"TraesCS1A03G0818800","Ambiguous"
"TraesCS1A03G0819300","Conserved"
"TraesCS1A03G0478900","Conserved"
"TraesCS1A03G0821600","Conserved"
"TraesCS1A03G0823300","Ambiguous"
"TraesCS1A03G0823600","Ambiguous"
"TraesCS1A03G0824000","Conserved"
"TraesCS1A03G0824700","Ambiguous"
"TraesCS1A03G0825100","Conserved"
"TraesCS1A03G0830000","Ambiguous"
"TraesCS1A03G0479200","Trans only"
"TraesCS1A03G0830600","Conserved"
"TraesCS1A03G0479800","Ambiguous"
"TraesCS1A03G0836000","Trans only"
"TraesCS1A03G0836200","Ambiguous"
"TraesCS1A03G0836300","Cis + trans"
"TraesCS1A03G0837200","Conserved"
"TraesCS1A03G0837600","Ambiguous"
"TraesCS1A03G0480300","Conserved"
"TraesCS1A03G0838800","Conserved"
"TraesCS1A03G0839100","Ambiguous"
"TraesCS1A03G0839500","Conserved"
"TraesCS1A03G0840000","Ambiguous"
"TraesCS1A03G0480800","Ambiguous"
"TraesCS1A03G0847500","Ambiguous"
"TraesCS1A03G0852200","Trans only"
"TraesCS1A03G0853300","Conserved"
"TraesCS1A03G0854400","Ambiguous"
"TraesCS1A03G0855100","Ambiguous"
"TraesCS1A03G0855800","Conserved"
"TraesCS1A03G0855900","Conserved"
"TraesCS1A03G0858300","Ambiguous"
"TraesCS1A03G0858500","Conserved"
"TraesCS1A03G0862200","Trans only"
"TraesCS1A03G0864500","Conserved"
"TraesCS1A03G0866200","Cis + trans"
"TraesCS1A03G0868400","Conserved"
"TraesCS1A03G0868900","Conserved"
"TraesCS1A03G0869800","Conserved"
"TraesCS1A03G0870100","Trans only"
"TraesCS1A03G0482200","Conserved"
"TraesCS1A03G0873200","Ambiguous"
"TraesCS1A03G0873800","Ambiguous"
"TraesCS1A03G0874000","Ambiguous"
"TraesCS1A03G0874100","Cis + trans"
"TraesCS1A03G0874600","Ambiguous"
"TraesCS1A03G0874700","Conserved"
"TraesCS1A03G0875600","Ambiguous"
"TraesCS1A03G0877600","Conserved"
"TraesCS1A03G0879800","Conserved"
"TraesCS1A03G0880000","Conserved"
"TraesCS1A03G0881200","Conserved"
"TraesCS1A03G0881300","Ambiguous"
"TraesCS1A03G0881500","Conserved"
"TraesCS1A03G0882700","Conserved"
"TraesCS1A03G0884800","Conserved"
"TraesCS1A03G0885500","Conserved"
"TraesCS1A03G0885700","Ambiguous"
"TraesCS1A03G0886400","Ambiguous"
"TraesCS1A03G0887400","Compensatory"
"TraesCS1A03G0887700","Conserved"
"TraesCS1A03G0887800","Conserved"
"TraesCS1A03G0888500","Ambiguous"
"TraesCS1A03G0891500","Conserved"
"TraesCS1A03G0891800","Ambiguous"
"TraesCS1A03G0891900","Conserved"
"TraesCS1A03G0892900","Ambiguous"
"TraesCS1A03G0895300","Conserved"
"TraesCS1A03G0896800","Conserved"
"TraesCS1A03G0896900","Ambiguous"
"TraesCS1A03G0897000","Conserved"
"TraesCS1A03G0452600","Ambiguous"
"TraesCS1A03G0902300","Ambiguous"
"TraesCS1A03G0902700","Conserved"
"TraesCS1A03G0903400","Conserved"
"TraesCS1A03G0903700","Trans only"
"TraesCS1A03G0905600","Conserved"
"TraesCS1A03G0906000","Trans only"
"TraesCS1A03G0906100","Conserved"
"TraesCS1A03G0908600","Conserved"
"TraesCS1A03G0909400","Conserved"
"TraesCS1A03G0911900","Conserved"
"TraesCS1A03G0917300","Ambiguous"
"TraesCS1A03G0924600","Trans only"
"TraesCS1A03G0936500","Trans only"
"TraesCS1A03G0483700","Conserved"
"TraesCS1A03G0946300","Conserved"
"TraesCS1A03G0947000","Conserved"
"TraesCS1A03G0948200","Conserved"
"TraesCS1A03G0949800","Trans only"
"TraesCS1A03G0951000","Conserved"
"TraesCS1A03G0951200","Ambiguous"
"TraesCS1A03G0952700","Conserved"
"TraesCS1A03G0954600","Ambiguous"
"TraesCS1A03G0954700","Conserved"
"TraesCS1A03G0954800","Conserved"
"TraesCS1A03G0954900","Conserved"
"TraesCS1A03G0955000","Conserved"
"TraesCS1A03G0956200","Conserved"
"TraesCS1A03G0969800","Conserved"
"TraesCS1A03G0969900","Cis only"
"TraesCS1A03G0975700","Conserved"
"TraesCS1A03G0484800","Ambiguous"
"TraesCS1A03G0484900","Ambiguous"
"TraesCS1A03G0985700","Conserved"
"TraesCS1A03G0986200","Cis only"
"TraesCS1A03G0986300","Conserved"
"TraesCS1A03G0986800","Conserved"
"TraesCS1A03G0986900","Ambiguous"
"TraesCS1A03G0988300","Conserved"
"TraesCS1A03G0989800","Conserved"
"TraesCS1A03G0993300","Ambiguous"
"TraesCS1A03G0486400","Conserved"
"TraesCS1A03G0994600","Ambiguous"
"TraesCS1A03G0995700","Conserved"
"TraesCS1A03G0998200","Ambiguous"
"TraesCS1A03G1000400","Trans only"
"TraesCS1A03G1002400","Conserved"
"TraesCS1A03G1003700","Conserved"
"TraesCS1A03G1004200","Ambiguous"
"TraesCS1A03G1006500","Conserved"
"TraesCS1A03G1014100","Ambiguous"
"TraesCS1A03G1017300","Ambiguous"
"TraesCS1A03G1025600","Ambiguous"
"TraesCS1A03G1026200","Ambiguous"
"TraesCS1A03G1026800","Conserved"
"TraesCS1A03G1027000","Conserved"
"TraesCS1A03G1027100","Conserved"
"TraesCS1A03G1029000","Ambiguous"
"TraesCS1A03G1029800","Conserved"
"TraesCS1A03G1031500","Conserved"
"TraesCS1A03G1031600","Ambiguous"
"TraesCS1A03G1033000","Ambiguous"
"TraesCS1A03G0486900","Conserved"
"TraesCS1A03G1034900","Conserved"
"TraesCS1A03G1035300","Conserved"
"TraesCS1A03G1038500","Ambiguous"
"TraesCS1A03G1039100","Ambiguous"
"TraesCS1A03G1039300","Ambiguous"
"TraesCS1A03G1039400","Ambiguous"
"TraesCS1A03G1048500","Ambiguous"
"TraesCS1A03G1050000","Ambiguous"
"TraesCS1A03G1052500","Conserved"
"TraesCS1A03G1052700","Ambiguous"
"TraesCS1A03G1057400","Trans only"
"TraesCS1A03G0447800","Ambiguous"
"TraesCS1A03G1061900","Conserved"
"TraesCS1A03G1062100","Trans only"
"TraesCS1A03G0487700","Conserved"
"TraesCS1A03G1068000","Cis only"
"TraesCS1A03G1068200","Ambiguous"
"TraesCS1A03G1068700","Conserved"
"TraesCS1A03G1069000","Ambiguous"
"TraesCS1A03G1069100","Ambiguous"
"TraesCS1A03G1069400","Ambiguous"
"TraesCS1A03G1071000","Cis + trans"
"TraesCS1A03G1073700","Conserved"
"TraesCS1A03G1075600","Ambiguous"
"TraesCS1A03G1076200","Conserved"
"TraesCS1A03G1077100","Ambiguous"
"TraesCS1A03G1079400","Conserved"
"TraesCS1A03G1079600","Conserved"
"TraesCS1A03G1079700","Conserved"
"TraesCS1A03G1080600","Ambiguous"
"TraesCS1A03G0488800","Conserved"
"TraesCS1A03G1084700","Trans only"
"TraesCS1A03G0489900","Ambiguous"
"TraesCS1A03G0490100","Ambiguous"
"TraesCS1A03G0490400","Conserved"
"TraesCS1A03G0490900","Ambiguous"
"TraesCS1A03G0454100","Ambiguous"
"TraesCS1A03G0493700","Ambiguous"
"TraesCS1A03G0497100","Conserved"
"TraesCS1A03G0497600","Conserved"
"TraesCS1A03G0498700","Conserved"
"TraesCS1A03G0500900","Ambiguous"
"TraesCS1A03G0502000","Ambiguous"
"TraesCS1A03G0503700","Conserved"
"TraesCS1A03G0455700","Ambiguous"
"TraesCS1A03G0455800","Conserved"
"TraesCS1A03G0505200","Ambiguous"
"TraesCS1A03G0455900","Conserved"
"TraesCS1A03G0505500","Ambiguous"
"TraesCS1A03G0505600","Conserved"
"TraesCS1A03G0505800","Ambiguous"
"TraesCS1A03G0506600","Conserved"
"TraesCS1A03G0506700","Ambiguous"
"TraesCS1A03G0507400","Ambiguous"
"TraesCS1A03G0448400","Ambiguous"
"TraesCS1A03G0511500","Ambiguous"
"TraesCS1A03G0513100","Ambiguous"
"TraesCS1A03G0513200","Ambiguous"
"TraesCS1A03G0514700","Conserved"
"TraesCS1A03G0514800","Ambiguous"
"TraesCS1A03G0515200","Conserved"
"TraesCS1A03G0516000","Conserved"
"TraesCS1A03G0457400","Conserved"
"TraesCS1A03G0516700","Ambiguous"
"TraesCS1A03G0517100","Conserved"
"TraesCS1A03G0517900","Conserved"
"TraesCS1A03G0520500","Conserved"
"TraesCS1A03G0521700","Conserved"
"TraesCS1A03G0522900","Ambiguous"
"TraesCS1A03G0523000","Conserved"
"TraesCS1A03G0523200","Conserved"
"TraesCS1A03G0524200","Conserved"
"TraesCS1A03G0524400","Conserved"
"TraesCS1A03G0524500","Conserved"
"TraesCS1A03G0525100","Compensatory"
"TraesCS1A03G0525200","Conserved"
"TraesCS1A03G0526300","Trans only"
"TraesCS1A03G0526600","Conserved"
"TraesCS1A03G0528100","Conserved"
"TraesCS1A03G0528400","Ambiguous"
"TraesCS1A03G0528900","Conserved"
"TraesCS1A03G0529100","Conserved"
"TraesCS1A03G0529300","Conserved"
"TraesCS1A03G0529800","Ambiguous"
"TraesCS1A03G0529900","Ambiguous"
"TraesCS1A03G0530000","Conserved"
"TraesCS1A03G0531000","Conserved"
"TraesCS1A03G0531200","Ambiguous"
"TraesCS1A03G0459500","Ambiguous"
"TraesCS1A03G0534000","Ambiguous"
"TraesCS1A03G0459800","Ambiguous"
"TraesCS1A03G0536900","Conserved"
"TraesCS1A03G0460000","Conserved"
"TraesCS1A03G0538400","Ambiguous"
"TraesCS1A03G0538900","Conserved"
"TraesCS1A03G0539100","Conserved"
"TraesCS1A03G0541300","Conserved"
"TraesCS1A03G0542000","Conserved"
"TraesCS1A03G0542400","Ambiguous"
"TraesCS1A03G0542500","Conserved"
"TraesCS1A03G0546000","Ambiguous"
"TraesCS1A03G0546100","Conserved"
"TraesCS1A03G0546300","Conserved"
"TraesCS1A03G0546600","Conserved"
"TraesCS1A03G0547300","Conserved"
"TraesCS1A03G0547700","Ambiguous"
"TraesCS1A03G0547800","Ambiguous"
"TraesCS1A03G0548300","Ambiguous"
"TraesCS1A03G0551200","Ambiguous"
"TraesCS1A03G0551300","Conserved"
"TraesCS1A03G0551400","Trans only"
"TraesCS1A03G0460600","Ambiguous"
"TraesCS1A03G0554000","Ambiguous"
"TraesCS1A03G0555200","Ambiguous"
"TraesCS1A03G0555700","Cis + trans"
"TraesCS1A03G0556700","Cis × trans"
"TraesCS1A03G0559700","Conserved"
"TraesCS1A03G0560100","Conserved"
"TraesCS1A03G0560400","Conserved"
"TraesCS1A03G0561300","Ambiguous"
"TraesCS1A03G0561600","Conserved"
"TraesCS1A03G0563200","Ambiguous"
"TraesCS1A03G0461300","Ambiguous"
"TraesCS1A03G0568200","Conserved"
"TraesCS1A03G0568300","Trans only"
"TraesCS1A03G0568600","Ambiguous"
"TraesCS1A03G0568800","Ambiguous"
"TraesCS1A03G0568900","Conserved"
"TraesCS1A03G0461600","Conserved"
"TraesCS1A03G0571900","Conserved"
"TraesCS1A03G0572400","Ambiguous"
"TraesCS1A03G0572600","Conserved"
"TraesCS1A03G0573400","Ambiguous"
"TraesCS1A03G0573800","Ambiguous"
"TraesCS1A03G0574000","Conserved"
"TraesCS1A03G0574500","Trans only"
"TraesCS1A03G0575100","Conserved"
"TraesCS1A03G0575600","Ambiguous"
"TraesCS1A03G0576000","Ambiguous"
"TraesCS1A03G0576200","Ambiguous"
"TraesCS1A03G0577200","Conserved"
"TraesCS1A03G0580100","Ambiguous"
"TraesCS1A03G0584500","Conserved"
"TraesCS1A03G0585600","Conserved"
"TraesCS1A03G0585700","Conserved"
"TraesCS1A03G0585900","Conserved"
"TraesCS1A03G0587300","Conserved"
"TraesCS1A03G0587600","Conserved"
"TraesCS1A03G0588000","Trans only"
"TraesCS1A03G0588700","Conserved"
"TraesCS1A03G0589700","Ambiguous"
"TraesCS1A03G0590000","Ambiguous"
"TraesCS1B03G0041400","Ambiguous"
"TraesCS1B03G0252800","Conserved"
"TraesCS1B03G0042600","Ambiguous"
"TraesCS1B03G0256900","Ambiguous"
"TraesCS1B03G0044800","Conserved"
"TraesCS1B03G0045000","Conserved"
"TraesCS1B03G0045500","Trans only"
"TraesCS1B03G0260500","Conserved"
"TraesCS1B03G0260800","Ambiguous"
"TraesCS1B03G0265800","Conserved"
"TraesCS1B03G0047700","Conserved"
"TraesCS1B03G0274800","Conserved"
"TraesCS1B03G0048600","Trans only"
"TraesCS1B03G0048800","Cis only"
"TraesCS1B03G0291900","Conserved"
"TraesCS1B03G0003100","Conserved"
"TraesCS1B03G0003300","Cis only"
"TraesCS1B03G0320500","Ambiguous"
"TraesCS1B03G0321200","Conserved"
"TraesCS1B03G0326800","Conserved"
"TraesCS1B03G0003800","Trans only"
"TraesCS1B03G0060300","Trans only"
"TraesCS1B03G0061600","Ambiguous"
"TraesCS1B03G0061900","Conserved"
"TraesCS1B03G0341500","Conserved"
"TraesCS1B03G0348200","Conserved"
"TraesCS1B03G0348500","Conserved"
"TraesCS1B03G0356000","Ambiguous"
"TraesCS1B03G0356800","Conserved"
"TraesCS1B03G0359400","Conserved"
"TraesCS1B03G0359800","Conserved"
"TraesCS1B03G0362200","Ambiguous"
"TraesCS1B03G0074000","Conserved"
"TraesCS1B03G0374100","Conserved"
"TraesCS1B03G0075300","Ambiguous"
"TraesCS1B03G0075600","Ambiguous"
"TraesCS1B03G0076300","Ambiguous"
"TraesCS1B03G0378100","Conserved"
"TraesCS1B03G0077900","Ambiguous"
"TraesCS1B03G0078100","Ambiguous"
"TraesCS1B03G0395100","Ambiguous"
"TraesCS1B03G0084600","Ambiguous"
"TraesCS1B03G0084700","Trans only"
"TraesCS1B03G0094400","Trans only"
"TraesCS1B03G0095700","Cis + trans"
"TraesCS1B03G0446700","Conserved"
"TraesCS1B03G0098000","Trans only"
"TraesCS1B03G0099700","Conserved"
"TraesCS1B03G0101000","Ambiguous"
"TraesCS1B03G0101300","Ambiguous"
"TraesCS1B03G0484000","Conserved"
"TraesCS1B03G0485500","Conserved"
"TraesCS1B03G0488700","Conserved"
"TraesCS1B03G0107500","Trans only"
"TraesCS1B03G0493300","Ambiguous"
"TraesCS1B03G0494100","Conserved"
"TraesCS1B03G0494600","Ambiguous"
"TraesCS1B03G0494800","Conserved"
"TraesCS1B03G0496900","Conserved"
"TraesCS1B03G0497000","Conserved"
"TraesCS1B03G0497300","Ambiguous"
"TraesCS1B03G0499000","Conserved"
"TraesCS1B03G0499300","Conserved"
"TraesCS1B03G0500700","Ambiguous"
"TraesCS1B03G0501900","Cis only"
"TraesCS1B03G0502600","Ambiguous"
"TraesCS1B03G0502700","Conserved"
"TraesCS1B03G0503200","Conserved"
"TraesCS1B03G0504700","Trans only"
"TraesCS1B03G0506100","Ambiguous"
"TraesCS1B03G0506800","Cis + trans"
"TraesCS1B03G0507000","Conserved"
"TraesCS1B03G0509100","Ambiguous"
"TraesCS1B03G0510900","Ambiguous"
"TraesCS1B03G0512400","Conserved"
"TraesCS1B03G0513400","Ambiguous"
"TraesCS1B03G0513500","Conserved"
"TraesCS1B03G0515400","Conserved"
"TraesCS1B03G0516100","Conserved"
"TraesCS1B03G0517600","Conserved"
"TraesCS1B03G0517700","Ambiguous"
"TraesCS1B03G0517800","Trans only"
"TraesCS1B03G0518100","Conserved"
"TraesCS1B03G0518300","Ambiguous"
"TraesCS1B03G0519600","Conserved"
"TraesCS1B03G0521200","Conserved"
"TraesCS1B03G0522500","Ambiguous"
"TraesCS1B03G0528300","Ambiguous"
"TraesCS1B03G0528400","Ambiguous"
"TraesCS1B03G0533000","Conserved"
"TraesCS1B03G0533700","Conserved"
"TraesCS1B03G0534400","Ambiguous"
"TraesCS1B03G0535400","Trans only"
"TraesCS1B03G0536900","Conserved"
"TraesCS1B03G0537300","Conserved"
"TraesCS1B03G0538800","Ambiguous"
"TraesCS1B03G0539000","Conserved"
"TraesCS1B03G0539400","Ambiguous"
"TraesCS1B03G0541100","Conserved"
"TraesCS1B03G0541300","Conserved"
"TraesCS1B03G0544000","Conserved"
"TraesCS1B03G0011000","Ambiguous"
"TraesCS1B03G0549000","Conserved"
"TraesCS1B03G0549100","Ambiguous"
"TraesCS1B03G0549200","Ambiguous"
"TraesCS1B03G0549500","Ambiguous"
"TraesCS1B03G0550700","Conserved"
"TraesCS1B03G0551400","Conserved"
"TraesCS1B03G0552200","Ambiguous"
"TraesCS1B03G0552300","Conserved"
"TraesCS1B03G0552400","Ambiguous"
"TraesCS1B03G0560900","Ambiguous"
"TraesCS1B03G0561700","Ambiguous"
"TraesCS1B03G0562200","Conserved"
"TraesCS1B03G0563100","Ambiguous"
"TraesCS1B03G0563500","Conserved"
"TraesCS1B03G0564700","Conserved"
"TraesCS1B03G0565000","Conserved"
"TraesCS1B03G0565300","Conserved"
"TraesCS1B03G0121200","Conserved"
"TraesCS1B03G0131000","Ambiguous"
"TraesCS1B03G0132600","Ambiguous"
"TraesCS1B03G0134800","Trans only"
"TraesCS1B03G0138400","Conserved"
"TraesCS1B03G0138600","Conserved"
"TraesCS1B03G0139900","Conserved"
"TraesCS1B03G0142800","Conserved"
"TraesCS1B03G0142900","Cis + trans"
"TraesCS1B03G0143700","Conserved"
"TraesCS1B03G0143900","Cis + trans"
"TraesCS1B03G0016200","Ambiguous"
"TraesCS1B03G0022400","Ambiguous"
"TraesCS1B03G0184900","Ambiguous"
"TraesCS1B03G0194400","Ambiguous"
"TraesCS1B03G0202500","Ambiguous"
"TraesCS1B03G0202700","Ambiguous"
"TraesCS1B03G0205900","Ambiguous"
"TraesCS1B03G0206600","Trans only"
"TraesCS1B03G0213200","Ambiguous"
"TraesCS1B03G0213800","Conserved"
"TraesCS1B03G0216300","Conserved"
"TraesCS1B03G0216400","Compensatory"
"TraesCS1B03G0222300","Conserved"
"TraesCS1B03G0035700","Trans only"
"TraesCS1B03G0229300","Conserved"
"TraesCS1B03G0232000","Ambiguous"
"TraesCS1B03G0235700","Conserved"
"TraesCS1B03G0038800","Ambiguous"
"TraesCS1B03G0038900","Ambiguous"
"TraesCS1B03G0039000","Ambiguous"
"TraesCS1B03G0711800","Ambiguous"
"TraesCS1B03G0711900","Ambiguous"
"TraesCS1B03G0578200","Ambiguous"
"TraesCS1B03G0714000","Conserved"
"TraesCS1B03G0716000","Conserved"
"TraesCS1B03G0717300","Conserved"
"TraesCS1B03G0718300","Conserved"
"TraesCS1B03G0718600","Ambiguous"
"TraesCS1B03G0719800","Conserved"
"TraesCS1B03G0720100","Ambiguous"
"TraesCS1B03G0724900","Conserved"
"TraesCS1B03G0725800","Ambiguous"
"TraesCS1B03G0726800","Ambiguous"
"TraesCS1B03G0728600","Conserved"
"TraesCS1B03G0729500","Ambiguous"
